product_id,name,category,price,rating,num_reviews,description,tags
P0049,E-reader 6-inch,Electronics,109.0,4.4,3891,"E-reader with adjustable light and long battery life.","reading|portable|ebook"
P0050,Cozy Throw Blanket,Home,24.5,4.7,8750,"Soft throw blanket for sofa and bed, machine washable.","home|comfort|soft"
P0051,Clean Beauty Shampoo,Beauty,10.99,4.3,2040,"Sulfate-free shampoo for daily use with gentle ingredients.","hair|clean|sulfate-free"
P0052,Conditioner Hydrating,Beauty,11.49,4.4,1980,"Hydrating conditioner for smooth hair and shine.","hair|hydration|smooth"
P0053,Graphic Hoodie,Fashion,35.0,4.2,1502,"Comfortable hoodie with graphic print, fleece lining.","casual|hoodie|warm"
P0054,Smartphone Tripod,Sports,21.99,4.5,3090,"Phone tripod for content creation, adjustable height.","photo|video|tripod"
P0055,Home Workout Kettlebell,Sports,32.99,4.6,2330,"Cast iron kettlebell for strength and conditioning workouts.","strength|kettlebell|home-gym"
P0056,Face Mask Clay,Beauty,14.0,4.2,1650,"Clay face mask for deep cleansing and pore care.","skincare|mask|clay"
P0057,Wireless Charging Pad,Electronics,22.0,4.4,7200,"Qi wireless charging pad compatible with most phones.","charger|wireless|qi"
P0058,Smart Thermostat,Home,179.0,4.1,840,"Smart thermostat for energy savings with app scheduling.","smart-home|energy|hvac"
P0059,Noise-Isolating Earplugs,Sports,9.5,4.3,4200,"Comfortable earplugs for sleep, travel, and concerts.","sleep|travel|noise"
P0060,Minimalist Watch,Fashion,29.99,4.3,980,"Minimalist analog watch with leather strap.","accessories|watch|minimal"
